<INICIO_FIM>|inicio|0
<CODIGO>|fim|2
<CODIGO>|escrever|1
<CODIGO>|ler|1
<CODIGO>|condicao_se|1
<CODIGO>|senao|2
<CODIGO>|condicao_repeticao|1
<CODIGO>|fim_repeticao|2
<CODIGO>|ponto_interrogacao|2
<CODIGO>|tipo|1
<CODIGO>|variavel|1
<COMANDO>|escrever|3
<COMANDO>|ler|4
<COMANDO>|condicao_se|5
<COMANDO>|condicao_repeticao|6
<COMANDO>|tipo|7
<COMANDO>|variavel|8
<SENAO>|senao|9
<SENAO>|ponto_interrogacao|10
<LOOP>|dois_pontos|12
<LOOP>|abre_parenteses|11
<DECLARACAO>|tipo|19
<ATRIBUIR_VALOR>|atribuicao|21
<ATRIBUIR_VALOR>|final_linha|22
<ATRIBUICAO>|variavel|20
<ARGUMENTO>|logica_maior_que|25
<ARGUMENTO>|logica_menor_que|25
<ARGUMENTO>|logica_igual|25
<ARGUMENTO>|logica_maior|25
<ARGUMENTO>|logica_menor|25
<ARGUMENTO>|logica_diferente|25
<ARGUMENTO>|matematica_soma|25
<ARGUMENTO>|matematica_subtracao|25
<ARGUMENTO>|matematica_multiplicacao|25
<ARGUMENTO>|matematica_divisao|25
<ARGUMENTO>|matematica_igual|25
<ARGUMENTO>|final_linha|25
<ARGUMENTO>|dois_pontos|25
<ARGUMENTO>|abre_parenteses|25
<ARGUMENTO>|fecha_parenteses|25
<ARGUMENTO>|virgula|25
<ARGUMENTO>|variavel|24
<ARGUMENTO>|texto|23
<ARGUMENTO>|numero|24
<ARGUMENTO_TEXTO>|texto|26
<ARGUMENTO_NUMERICO>|variavel|28
<ARGUMENTO_NUMERICO>|numero|27
<CALCULO>|abre_parenteses|16
<CALCULO>|variavel|15
<CALCULO>|numero|15
<EXPRESSAO>|abre_parenteses|13
<LOGICA>|variavel|14
<LOGICA>|numero|14
<EXPRESSAO_MATEMATICA>|matematica_soma|17
<EXPRESSAO_MATEMATICA>|matematica_subtracao|17
<EXPRESSAO_MATEMATICA>|matematica_multiplicacao|17
<EXPRESSAO_MATEMATICA>|matematica_divisao|17
<EXPRESSAO_MATEMATICA>|matematica_igual|17
<EXPRESSAO_MATEMATICA>|final_linha|18
<EXPRESSAO_MATEMATICA>|fecha_parenteses|18
<OP_LOGICA>|logica_maior_que|29
<OP_LOGICA>|logica_menor_que|30
<OP_LOGICA>|logica_igual|31
<OP_LOGICA>|logica_maior|32
<OP_LOGICA>|logica_menor|33
<OP_LOGICA>|logica_diferente|34
<OP_MATEMATICA>|matematica_soma|35
<OP_MATEMATICA>|matematica_subtracao|36
<OP_MATEMATICA>|matematica_multiplicacao|37
<OP_MATEMATICA>|matematica_divisao|38
<OP_MATEMATICA>|matematica_igual|39
